,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
15165,9,Sullivan,Lumberland (Town),2.2 MI W OF FORESTBURG,COUNTY ROAD 43,MONGAUP RIVER,County,1964,7,25
10971,8,Orange,Wallkill (Town),900 M SE JCT 84-I & Rt.17,EAST MAIN STREET,PHILLIPSBURG CREE,County,2015,7,25
7277,11,Kings,New York (City),2.7 MI SW JCT I278 & I495,MARCY DIVISION AV,278I278IX2M24106,NYSDOT,1958,7,25
6939,7,Jefferson,Hounsfield (Town),0.2 MI N OF SACKETS HARBO,MILITARY ROAD,MILL CREEK,County,1800,7,25
11886,11,Queens,New York (City),.2 MI N JCT I278 & SH 25A,278I 278IX5M33032,32ND AVENUE,City,2003,7,25
11170,4,Orleans,Murray (Town),0.7MI W JCT BARGE C+387,HINDSBURG ROAD,ERIE CANAL,NYSDOT,1911,7,25
1905,5,Cattaraugus,Olean (Town),4.3 MILES SOUTH OF OLEAN,COUNTY ROAD 29,MIX CREEK,County,1988,7,25
13622,3,Seneca,Fayette (Town),2 MILES SW OF WATERLOO,COUNTY ROAD 119,KENDIG CREEK,County,1950,7,25
12541,1,Rensselaer,Schodack (Town),.9 MI SOUTH OF CASTLETON,MUITZESKILL ROAD,MUITZES KILL,County,1932,7,25
6731,2,Herkimer,Salisbury (Town),.4 MILE N OF SALISBURY,CR221 CURTIS ROAD,SPRUCE CREEK,County,1941,7,25
8182,4,Monroe,Ogden (Town),1.4 MI E JCT BG CNL&SH260,CR 244- Gallup Rd,ERIE CANAL,NYSDOT,1908,7,25
14868,10,Suffolk,Islip (Town),3.2 MI E JCT SH 111 & HSP,MANHATTAN BLVD,908M908M07021141,NYSDOT,1961,7,25
3825,3,Cortland,Truxton (Town),1.5 MI N TRUXTON ON 91,ROBINS ROAD,LABRADOR CREEK,Town,1981,7,25
13783,7,St Lawrence,Hammond (Town),1.2 MI NE JCT RTE 12 + CL,12  12 75071015,CROOKED CREEK,NYSDOT,1966,7,25
13611,6,Schuyler,Watkins Glen (Village),1.4 MI E JCT RTS 14 + 414,414 414 63031095,SENECA CANAL,NYSDOT,1964,7,25
83,1,Albany,Albany (City),I787 58 RAMP&BDWAY-ALBANY,I787 SB TO SMX WB,SM-OFF TO PEARL ST,NYSDOT,1973,7,25
10747,8,Orange,Goshen (Village),1.1 MI SE JCT RTS 17+207,SOUTH STREET,17  17 83101132,NYSDOT,2006,7,25
2784,6,Chemung,Chemung (Town),3 MILES SE OF LOWMAN,86I 17 62051217,NORFOLK SOUTHERN RR,NYSDOT,1967,7,25
5591,1,Essex,Jay (Town),IN AU SABLE FORKS,GROVE ROAD,E B AUSABLE RIVER,County,2015,7,25
14303,6,Steuben,Fremont (Town),2.5 MILES NE OF HORNELL,COUNTY ROAD 70A,BIG CREEK ROAD,County,1936,7,25
5495,5,Erie,West Seneca (Town),1.3 MI S JCT RTS 277 +400,277 277 53011107,CAZENOVIA CREEK,NYSDOT,1929,7,25
14386,6,Steuben,Hornellsville (Town),.5 MILE W JCT I86 & SR 36,86I 17 64044037,NORFOLK SOUTHERN RR,NYSDOT,1973,7,25
14387,6,Steuben,Hornellsville (Town),.5 MILE W JCT I86 & SR 36,86I 17 64044037,NORFOLK SOUTHERN RR,NYSDOT,1973,7,25
10762,8,Orange,Hamptonburgh (Town),3.7 MI E JCT RTS 207&416,207 207 83011093,OTTERKILL,NYSDOT,1927,7,25
12783,8,Rockland,Clarkstown (Town),JCT SH 304 & I87/I287,304 304 85011050,87IX,NYSDOT,1953,7,25
